Manufacturer,NHTSACampaignNumber,parkIt,parkOutSide,overTheAirUpdate,NHTSAActionNumber,ReportReceivedDate,Component,Summary,Consequence,Remedy,Notes,ModelYear,Make,Model,_query_make,_query_model,_query_year,report_date_iso
"Kia America, Inc.",23V179000,False,True,False,,17/03/2023,TRAILER HITCHES,"Kia America, Inc. (Kia) is recalling certain 2022-2023 Carnival vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will inspect and verify whether the vehicle is equipped with a Genuine Kia accessory trailer tow hitch assembly.  If equipped, dealers will install a new fuse and wire extension kit.  Repairs will be performed free of charge.  Owner notification letters were mailed May 16, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC265.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,KIA,CARNIVAL,KIA,CARNIVAL,2022,2023-03-17
"Kia America, Inc.",23V298000,False,False,False,,26/04/2023,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,"Kia America, Inc. (Kia) is recalling certain 2023 Sportage, Sportage Hybrid, Sportage Plug-in Hybrid, Niro Hybrid, Niro Plug-in Hybrid, Soul, and Telluride vehicles equipped with a digital instrument cluster containing a 4.2"" LCD screen.  The instrument cluster may fail to display any information when the vehicle is started.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard numbers 101, ""Control and Displays,"" and 138, ""Tire Pressure Monitoring Systems.""","A blank instrument cluster display will not show critical information, such as tire pressure, warning messages, and warning lights, increasing the risk of a crash.","Dealers will update the instrument cluster software, free of charge.  Owner notification letters were mailed May 26, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC270.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2023,KIA,TELLURIDE,KIA,TELLURIDE,2023,2023-04-26
Hyundai Motor America,23V526000,False,True,False,,27/07/2023,POWER TRAIN:AUTOMATIC TRANSMISSION:FLUID/LUBRICANT:PUMP,"Hyundai Motor America (Hyundai) is recalling certain 2023-2024 Palisade Tucson, 2023 Sonata, Elantra, and Kona vehicles.  The electronic controller for the Idle Stop & Go oil pump assembly may contain damaged electrical components that can cause the pump controller to overheat.",An electric oil pump assembly that overheats increases the risk of a vehicle fire.,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect and replace the electric oil pump controller, as necessary, free of charge.  Owner notification letters were mailed starting September 7, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 246.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2023,HYUNDAI,SONATA,HYUNDAI,SONATA,2023,2023-07-27
"Kia America, Inc.",23V531000,False,True,False,,31/07/2023,POWER TRAIN:AUTOMATIC TRANSMISSION:FLUID/LUBRICANT:PUMP,"Kia America, Inc. (Kia) is recalling certain 2023 Soul, Sportage, and 2023-2024 Seltos vehicles.  The electronic controller for the Idle Stop & Go oil pump assembly may contain damaged electrical components that can cause the pump to overheat.",An electric oil pump assembly that overheats increases the risk of a vehicle fire.,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect and replace the electric oil pump controller, as necessary, free of charge.  Owner notification letters are expected to be mailed September 28, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC275.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2023,KIA,SELTOS,KIA,SELTOS,2023,2023-07-31
"Kia America, Inc.",23V610000,False,False,False,,31/08/2023,BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,"Kia America, Inc. (Kia) is recalling certain 2022-2023 Sorento, Sorento Hybrid, and Sorento Plug-in Hybrid (PHEV) vehicles.  The mounting clips for the rearview camera may break, which can cause the rearview camera image not to appear properly on the display.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""","A rearview camera that does not properly display an image can reduce the driver's rear view, increasing the risk of a crash.","Dealers will inspect and replace the rearview camera housing, as necessary, free of charge.  Owner notification letters were mailed October 27, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC280.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2023,KIA,SORENTO,KIA,SORENTO,2023,2023-08-31
Hyundai Motor America,23V901000,False,False,False,,26/12/2023,ELECTRICAL SYSTEM:12V/24V/48V BATTERY:CABLES,Hyundai Motor America (Hyundai) is recalling certain 2024 Kona vehicles.  The 12-Volt battery cables may chafe against the engine control module bracket and short circuit during a crash.,A short circuit increases the risk of an engine compartment fire.,"Dealers will install sheathing over the wiring, free of charge.  Owner notification letters were mailed February 22, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 252.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2024,HYUNDAI,KONA,HYUNDAI,KONA,2024,2023-12-26
"Kia America, Inc.",24V169000,False,False,False,,01/03/2024,ENGINE AND ENGINE COOLING:ENGINE:GASOLINE:TURBO/SUPERCHARGER:HOSES/PLUMBING,"Kia America, Inc. (Kia) is recalling certain 2019-2020 K900, and 2018-2023 Stinger vehicles equipped with a 3.3-liter turbo gasoline direct injection engine.  The left turbocharger oil feed pipe and hose assembly may deteriorate and leak oil.",An oil leak in the presence of hot engine components can increase the risk of an engine compartment fire while driving.,"Dealers will replace the left turbocharger oil feed pipe and hose assembly, free of charge.  Owner notification letters were mailed April 26, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC300.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,KIA,STINGER,KIA,STINGER,2022,2024-03-01
"Kia America, Inc.",24V200000,False,False,False,PE23012,14/03/2024,ELECTRICAL SYSTEM:12V/24V/48V BATTERY,"Kia America, Inc. (Kia) is recalling certain 2022-2024 EV6 vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-Volt battery, which can result in a loss of drive power.",A loss of drive power increases the risk of a crash.,"Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters are expected to be mailed April 29, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC302.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,KIA,EV6,KIA,EV6,2022,2024-03-14
Hyundai Motor America,24V204000,False,False,False,PE23011,15/03/2024,ELECTRICAL SYSTEM:12V/24V/48V BATTERY,"Hyundai Motor America (Hyundai) is recalling certain 2022-2024 IONIQ 5, 2023-2024 IONIQ 6, Genesis GV60, Genesis GV70 ""Electrified,"" and Genesis G80 ""Electrified"" vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-Volt battery, which can result in a loss of drive power.",A loss of drive power increases the risk of a crash.,"This recall is replaced by NHTSA recall number 24V-868.  Vehicles already repaired under this recall will need to have the new remedy completed. Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters were mailed April 22, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 257/021G.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2023,HYUNDAI,IONIQ 6,HYUNDAI,IONIQ 6,2023,2024-03-15
Hyundai Motor America,24V246000,False,False,True,,02/04/2024,BACK OVER PREVENTION:SOFTWARE,"Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe vehicles.  The rearview camera image may be obstructed by a trailer parking assist message.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""",An obstructed rearview camera image reduces rearward visibility and increases the risk of a crash or injury.,"Hyundai will release an over-the-air (OTA) software update.  Owner notification letters were mailed beginning May 31, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 258.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2024,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2024,2024-04-02
"Kia America, Inc.",24V287000,False,False,False,,23/04/2024,ELECTRICAL SYSTEM:WIRING,"Kia America, Inc. (Kia) is recalling certain 2024 Sorento vehicles.  The motor driven power steering (MDPS) wiring harness may be incorrectly assembled, which can result in a loss of power steering assist.",A loss of power steering assist increases the risk of a crash.,"Dealers will inspect and repair, or replace the MDPS wiring harness as necessary, free of charge.  Owner notification letters were mailed May 7, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC309.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2024,KIA,SORENTO,KIA,SORENTO,2024,2024-04-23
Hyundai Motor America,24V308000,False,False,False,,01/05/2024,ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL:GAS RECIRCULATION VALVE (EGR VALVE),"Hyundai Motor America (Hyundai) is recalling certain 2024 Elantra, Venue, and Kona vehicles.  An electrical short circuit may occur in the exhaust gas recirculation (EGR) valve assembly, which can result in a loss of drive power.",A loss of drive power increases the risk of a crash.,"Dealers will replace the exhaust gas recirculation valve assembly, free of charge.  Owner notification letters were mailed June 28, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 260.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2024,HYUNDAI,ELANTRA,HYUNDAI,ELANTRA,2024,2024-05-01
"Kia America, Inc.",24V338000,False,False,False,,14/05/2024,SEAT BELTS:FRONT:RETRACTOR,"Kia America, Inc. (Kia) is recalling certain 2024 EV9 vehicles.  The front passenger seat belt retractor cover may not be secured properly, which can cause the front passenger seat belt automatic locking retractor (ALR) and emergency locking retractor (ELR) to not operate as intended.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard numbers 208, ""Occupant Crash Protection"" and 209, ""Seat Belt Assemblies.""",A seat belt retractor that does not operate as intended increases the risk of injury in a crash.,"Dealers will replace the front passenger seat belt assembly, free of charge.  Owner notification letters were mailed June 5, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC312.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2024,KIA,EV9,KIA,EV9,2024,2024-05-14
"Kia America, Inc.",24V358000,False,False,False,,21/05/2024,ELECTRICAL SYSTEM:PROPULSION SYSTEM:SHOCK PROTECTION,"Kia America, Inc. (Kia) is recalling certain 2022 Niro EV vehicles.  The high voltage battery safety plug may overheat and melt, which can cause a loss of drive power or fire.","A loss of drive power increases the risk of a crash, and a fire increases the risk of injury.","Owners are advised not to charge their vehicle in a garage or any other covered structure until the recall repair is completed.  Dealers will replace the safety plug, free of charge.  Owner notification letters were mailed July 19, 2024.  Kia's number for this recall is SC314.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2022,KIA,NIRO EV,KIA,NIRO EV,2022,2024-05-21
Hyundai Motor America,24V529000,False,False,False,,12/07/2024,POWER TRAIN:AUTOMATIC TRANSMISSION:CONTROL MODULE:SOFTWARE,Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe vehicles.  A software error in the transmission control unit may result in a vehicle roll away when the vehicle is in PARK.,A vehicle roll away increases the risk of a crash or injury.,"Owners are advised to use the emergency parking brake after parking their vehicles.  Hyundai will release an over-the-air (OTA) software update for the transmission control unit.  In addition, dealers will inspect and replace the dual clutch transmission, as necessary.  All repairs will be performed free of charge.  Owner notification letters were mailed beginning August 26, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 263.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2024,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2024,2024-07-12
Hyundai Motor America,24V583000,False,False,True,,07/08/2024,EXTERIOR LIGHTING:BRAKE LIGHTS,"Hyundai Motor America (Hyundai) is recalling certain 2024 Hyundai Sonata vehicles.  The software for the brake lights may cause the brake lights to flash and not illuminate properly.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""Lamps, Reflective Devices, and Associated Equipment.""","Flashing brake lights may cause confusion for other drivers on the road, increasing the risk of a crash.","Dealers will update the rear brake light software, free of charge.  Additionally, Hyundai will release the software update over-the-air (OTA).  Owner notification letters were mailed September 12, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 267.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2024,HYUNDAI,SONATA,HYUNDAI,SONATA,2024,2024-08-07
"Kia America, Inc.",24V693000,False,False,False,,17/09/2024,PARKING BRAKE:ELECTRICAL:CONTROL MODULE:SOFTWARE,"Kia America, Inc. (Kia) is recalling certain 2024 EV9 vehicles.  A software error may cause the remote smart parking assist feature, which allows the operator to remotely move the vehicle, to miscalculate stopping distances.",A remote smart parking assist feature that miscalculates stopping distances may increase the risk of a crash.,"Dealers will update the integrated electronic brake software, free of charge.  Owner notification letters were mailed October 4, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC324.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",2024,KIA,EV9,KIA,EV9,2024,2024-09-17
"Kia America, Inc.",24V757000,False,False,True,,10/10/2024,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,"Kia America, Inc. (Kia) is recalling certain 2024-2025 EV9 vehicles.  Due to a software error, the instrument panel screen may fail.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 101, ""Controls and Displays.""","An instrument panel screen that fails to display critical safety information, such as the speedometer or warning lights, can increase the risk of a crash.","The instrument cluster software will be updated by a dealer or through an over-the-air (OTA) update, free of charge.  Owner notification letters were mailed October 25, 2024.  Owners may contact Kia Customer Service at 1-800-333-4542.  Kia's number for this recall is SC326.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,2024,KIA,EV9,KIA,EV9,2024,2024-10-10
Hyundai Motor America,24V843000,False,False,False,,07/11/2024,ELECTRICAL SYSTEM:WIRING:SWITCHES/KNOBS/BUTTONS,"Hyundai Motor America (Hyundai) is recalling certain 2024 Santa Fe and Santa Fe Hybrid vehicles. The overhead console rear sunshade switch knob may not be fully recessed, which can result in unintentional closing of the sunshade.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 118, ""Power-Operated Window, Partition and Roof Panel Systems.""",A sunshade that closes unexpectedly can increase the risk of injury.,"Dealers will replace the switch knobs, free of charge.  Owner notification letters were mailed December 2, 2025.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 270.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,2024,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2024,2024-11-07
"Kia America, Inc.",24V867000,False,False,False,,18/11/2024,ELECTRICAL SYSTEM:12V/24V/48V BATTERY,"Kia America, Inc. (Kia) is recalling certain 2022-2024 EV6 vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-volt battery, which can result in a loss of drive power.",A loss of drive power increases the risk of a crash.,"Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters were mailed December 13, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC327.  This recall expands and replaces previous recall number 24V-200.  Vehicles previously repaired under recall 24V-200 will need to have the new remedy completed.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,2022,KIA,EV6,KIA,EV6,2022,2024-11-18
Hyundai Motor America,24V868000,False,False,False,,18/11/2024,ELECTRICAL SYSTEM:12V/24V/48V BATTERY,"Hyundai Motor America (Hyundai) is recalling certain 2022-2024 IONIQ 5, 2023-2025 IONIQ 6, Genesis GV60, Genesis GV70 ""Electrified,"" and Genesis G80 ""Electrified"" vehicles.  The Integrated Charging Control Unit (ICCU) may become damaged and stop charging the 12-volt battery, which can result in a loss of drive power.",A loss of drive power increases the risk of a crash.,"Dealers will inspect and replace the ICCU and its fuse, as necessary.  In addition, dealers will update the ICCU software.  All repairs will be performed free of charge.  Owner notification letters were mailed December 20, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460 or Genesis customer service at 1-844-340-9741.  Hyundai's numbers for this recall are 272 (Hyundai) and 025G (Genesis).  This recall expands and replaces previous recall number 24V-204. Vehicles previously repaired under recall 24V-204 will need to have the new remedy completed.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,2023,HYUNDAI,IONIQ 5,HYUNDAI,IONIQ 5,2023,2024-11-18
Hyundai Motor America,24V877000,False,False,False,,20/11/2024,ELECTRICAL SYSTEM:WIRING,"Hyundai Motor America (Hyundai) is recalling certain 2025 Tucson and Santa Cruz vehicles.  The console extension wiring assembly may be routed improperly, allowing the transmission to be shifted out of Park without applying the brake pedal.","A transmission that can shift out of Park without applying the brake pedal can result in a vehicle roll away, increasing the risk of a crash.","Owners are advised to use the parking brake when parking the vehicle.  Dealers will reroute the console extension wiring assembly, free of charge.  Owner notification letters were mailed December 17, 2024.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 273.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,2025,HYUNDAI,SANTA CRUZ,HYUNDAI,SANTA CRUZ,2025,2024-11-20
Hyundai Motor America,24V879000,False,False,False,,21/11/2024,BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,"Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Santa Fe, Santa Fe HEV, Elantra, Elantra HEV and 2022 Elantra N and Santa Fe PHEV vehicles.  Due to a damaged printed circuit board, the rearview camera image may fail to display.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""",A rearview image that does not display reduces the driver's visibility and increases the risk of a crash.,"Dealers will replace the rearview camera, free of charge.  Owner notification letters were mailed January 14, 2025.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 271.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,2021,HYUNDAI,SANTA FE,HYUNDAI,SANTA FE,2021,2024-11-21
"Kia America, Inc.",25V006000,False,False,False,,13/01/2025,ELECTRICAL SYSTEM:BODY CONTROL MODULE:SOFTWARE,"Kia America, Inc. (Kia) is recalling certain 2024-2025 Sorento, 2025 Sorento Hybrid, and 2025 Sorento Plug-In Hybrid vehicles.  A software error in the Body Domain Control Unit (BDC) may cause a loss of low beam headlights and taillights.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) 108, ""Lamps, Reflective Devices, and Associated Equipment.""","A loss of headlights and taillights can reduce visibility, increasing the risk of a crash.","Dealers will update the BDC software, free of charge.  Owner notification letters were mailed February 21, 2025.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC331.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,2024,KIA,SORENTO,KIA,SORENTO,2024,2025-01-13
Hyundai Motor America,25V065000,False,False,False,,06/02/2025,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:ELECTRIC:CONTROL MODULE:SOFTWARE","Hyundai Motor America (Hyundai) is recalling certain 2025 Hyundai IONIQ 5 ""N"" vehicles equipped with a left-foot braking (LFB) feature.  The integrated electronic brake (IEB) and vehicle control unit (VCU) software may cause reduced braking performance when LFB is activated.","Reduced braking performance can increase the distance required to stop the vehicle, increasing the risk of a crash.","Owners who have not received the recall remedy are advised not to use the LFB feature until the updated remedy has been performed.  Additionally, owners who have received the recall remedy are advised not to use the 'N' E-shift feature until the updated remedy has been performed.  Dealers will update the IEB and VCU software, free of charge.  Owner notification letters were mailed March 12, 2025.  This recall is replaced by NHTSA recall number 25V-235.  Vehicles already repaired under this recall will need to have the new remedy completed. Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 275.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,2025,HYUNDAI,IONIQ 5,HYUNDAI,IONIQ 5,2025,2025-02-06
Hyundai Motor America,25V064000,False,False,False,,06/02/2025,ELECTRICAL SYSTEM:WIRING,"Hyundai Motor America (Hyundai) is recalling certain 2025 IONIQ 5 EV vehicles.  The rear floor wiring harness may contain an open circuit, which can result in the rear side air bag not deploying as intended.",A rear side air bag that does not deploy as intended can increase the risk of injury in a crash.,"Dealers will inspect and replace the rear floor wiring harness, as necessary, free of charge.  Owner notification letters were mailed March 12, 2025.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 274.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,2025,HYUNDAI,IONIQ 5,HYUNDAI,IONIQ 5,2025,2025-02-06
"Kia America, Inc.",25V115000,False,False,False,,24/02/2025,ELECTRICAL SYSTEM:PROPULSION SYSTEM,"Kia America, Inc. (Kia) is recalling certain 2025 EV9 vehicles.  The rear gear drive unit (GDU) motor shaft may have been improperly welded and become damaged, causing a loss of drive power.",A loss of drive power increases the risk of a crash.,"Dealers will replace the rear GDU, free of charge.  Owner notification letters were mailed March 7, 2025.  Owners may contact Kia customer service at 800-333-4542.  Kia's number for this recall is SC337.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 888-327-4236 (TTY 888-275-9171) or go to nhtsa.gov.,2025,KIA,EV9,KIA,EV9,2025,2025-02-24
Hyundai Motor America,25V235000,False,False,True,,11/04/2025,"SERVICE BRAKES, HYDRAULIC:POWER ASSIST:ELECTRIC:CONTROL MODULE:SOFTWARE","Hyundai Motor America (Hyundai) is recalling certain 2025 Hyundai IONIQ 5 ""N"" vehicles equipped with left-foot braking (LFB) and N e-shift features.  The integrated electronic brake (IEB) and vehicle control unit (VCU) software may cause reduced braking performance when LFB is activated.  Additionally, the vehicle may continue to accelerate after the pedal is released and the vehicle's N e-shift feature is engaged.","Reduced braking performance and unexpected, continued acceleration increase the risk of a crash.","Owners are advised not to use the LFB or N e-Shift features until the remedy has been performed.  The IEB and VCU software will be updated over-the-air (OTA) or by a dealer, free of charge.  Owner notification letters were mailed April 25, 2025.  This recall replaces NHTSA recall number 25V-065.  Vehicles repaired under the previous recall will need to have the new remedy completed.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 277.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1- 888-275-9171) or go to www.safercar.gov.,2025,HYUNDAI,IONIQ 5,HYUNDAI,IONIQ 5,2025,2025-04-11
Hyundai Motor America,25V291000,False,True,False,,06/05/2025,POWER TRAIN:AUTOMATIC TRANSMISSION:FLUID/LUBRICANT:PUMP,"Hyundai Motor America (Hyundai) is recalling certain 2025 Hyundai Palisade vehicles.  An insufficient seal on the controller for the electric oil pump may allow moisture to accumulate in the printed circuit board, which can cause an electrical short and result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the recall remedy is completed.  Dealers will replace the electric oil pump controller, free of charge.  Owner notification letters were mailed June 11, 2025.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 278.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1- 888-275-9171) or go to www.safercar.gov.,2025,HYUNDAI,PALISADE,HYUNDAI,PALISADE,2025,2025-05-06
"Kia America, Inc.",25V351000,False,False,False,,27/05/2025,EXTERIOR LIGHTING:LIGHTING CONTROL MODULE:SOFTWARE,"Kia America, Inc. (Kia) is recalling certain 2025 K5 vehicles. A software error in the Power-net Domain Controller (PDC) may cause the parking lights to flicker. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) 108, ""Lamps, Reflective Devices, and Associated Equipment.""","Parking lights that fail to illuminate properly can reduce visibility, increasing the risk of a crash.","The PDC software will be updated by a dealer or through an over-the-air (OTA) update, free of charge. Owner notification letters were mailed June 24, 2025. Owners may contact Kia customer service at 1-800-333-4542. Kia's number for this recall is SC341.",,2025,KIA,K5,KIA,K5,2025,2025-05-27
"Kia America, Inc.",25V426000,False,False,False,,20/06/2025,BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,"Kia America, Inc. (Kia) is recalling certain 2020-2022 Niro EV vehicles. The circuit board for the rearview camera may become damaged and cause the rearview camera image not to display. As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 111, ""Rear Visibility.""","A rearview image that does not display reduces the driver's view of what is behind the vehicle, increasing the risk of a crash.","Dealers will replace the rearview camera, free of charge. Owner notification letters were mailed November 7, 2025. Owners may contact Kia customer service at 1-800-333-4542. Kia's number for this recall is SC342.",,2022,KIA,NIRO EV,KIA,NIRO EV,2022,2025-06-20
Hyundai Motor America,25V482000,False,True,False,,24/07/2025,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY,"Hyundai Motor America (Hyundai) is recalling certain 2025 IONIQ 5 vehicles. The high voltage battery system may contain an improperly tightened bus bar, which can cause a short-circuit.",An electrical short in the high voltage battery system increases the risk of a fire.,"Owners are advised to park their vehicles outside and away from structures until the recall remedy is complete. Dealers will inspect and repair the high voltage battery system, as necessary, free of charge. Owner notification letters were mailed August 25, 2025. Owners may contact Hyundai customer service at 1-855-371-9460. Hyundai's number for this recall is 280.",,2025,HYUNDAI,IONIQ 5,HYUNDAI,IONIQ 5,2025,2025-07-24
