campaign,mfr_recall_no,population,component_name,component_desc,part_number,supplier_name,supplier_country,defect_cause,fmvss,remedy_type,corrected_in_production,chronology_attached,chronology_note,chronology_url,pdf_url,affected_models,supplier_canonical,supplier_group
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2016-2020 Sorento),C6061-ADUSBQQK,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2016-2020 Sorento),C6061-ADUSC,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2016-2020 Sorento),C6061-ADUSD,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2016-2020 Sorento),C6061-ADUSF,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2016-2020 Sorento),C6061-ADUSG,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2016-2020 Sorento),C6061-ADUSH,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2016-2020 Sorento),C6061-ADUSNQQK,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2016-2020 Sorento),C6061-ADUSPQQK,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2017-2022 Sportage),D9061-ADU00,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2017-2022 Sportage),D9061-ADU01,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2017-2022 Sportage),D9061-ADUP1,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2017-2022 Sportage),D9061-ADU02,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2017-2022 Sportage),D9061-ADUP2,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2017-2022 Sportage),D9061-ADU03,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2017-2022 Sportage),D9061-ADUP3,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2017-2022 Sportage),D9061-ADU04,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2017-2022 Sportage),D9061-ADUP4,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
22V703000,SC249,70887,TOW HITCH HARNESS,TOW HITCH HARNESS (2017-2022 Sportage),D9061-ADU05,Mobis Parts America,United States,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.",TBD,True,"See attached document titled “2016-2022MY Sorento, 2021-2023MY Sorento HEV, 2022-2023MY Sorento PHEV and 2017-2022MY Sportage Tow Hitch Harness Chronology”",,https://static.nhtsa.gov/odi/rcl/2022/RCLRPT-22V703-6415.PDF,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022,Mobis Parts America,Hyundai Mobis
