CAMPNO,MFGCAMPNO,MFGTXT,POTAFF,RCDATE,ODATE,COMPNAME,MFR_COMP_NAME,MFR_COMP_PTNO,MFR_COMP_DESC,FMVSS,RPNO,DESC_DEFECT,CONEQUENCE_DEFECT,CORRECTIVE_ACTION,NOTES,DO_NOT_DRIVE,PARK_OUTSIDE,affected_models
22V344000,SC237,"Kia America, Inc.",3596,20220517,20220715,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,Cluster Assy-Instrument,94001-S9500,"Instrument Cluster Assembly [ with 3.5"" LCD screen ]",101,,"Kia Motors America (Kia) is recalling certain 2022 Telluride vehicles.  Excess adhesive in a circuit board within the instrument cluster may cause the instrument cluster display screen to be blank.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 101, ""Control and Displays.""","A blank instrument cluster display screen will not show critical information, such as the odometer, which can increase the risk of a crash.","Dealers will replace the instrument cluster assembly, free of charge.  Owner notification letters were mailed July 15, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC237.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,TELLURIDE 2022
22V344000,SC237,"Kia America, Inc.",3596,20220517,20220715,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,Cluster Assy-Instrument,94001-S9510,"Instrument Cluster Assembly [ with 3.5"" LCD screen ]",101,,"Kia Motors America (Kia) is recalling certain 2022 Telluride vehicles.  Excess adhesive in a circuit board within the instrument cluster may cause the instrument cluster display screen to be blank.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 101, ""Control and Displays.""","A blank instrument cluster display screen will not show critical information, such as the odometer, which can increase the risk of a crash.","Dealers will replace the instrument cluster assembly, free of charge.  Owner notification letters were mailed July 15, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC237.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,TELLURIDE 2022
22V344000,SC237,"Kia America, Inc.",3596,20220517,20220715,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,[ Cluster Assy-Instrument ],[ 94011-S9500 ],"[ Instrument Cluster Assembly with 7"" LCD screen ]",101,,"Kia Motors America (Kia) is recalling certain 2022 Telluride vehicles.  Excess adhesive in a circuit board within the instrument cluster may cause the instrument cluster display screen to be blank.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 101, ""Control and Displays.""","A blank instrument cluster display screen will not show critical information, such as the odometer, which can increase the risk of a crash.","Dealers will replace the instrument cluster assembly, free of charge.  Owner notification letters were mailed July 15, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC237.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,TELLURIDE 2022
22V353000,230,Hyundai Motor America,158,20220518,20220715,ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,Cluster Assy-Instrument,"94011-S8640, 94011-S8650",Instrument Cluster Assembly,,,"Hyundai Motor America (Hyundai) is recalling certain 2022 Palisade vehicles.  The instrument cluster assembly may have been manufactured with excessive adhesive, which can disable the instrument cluster display screen.","A disabled display screen will not show critical information, such as the meters, gauges, and warning lights, which can increase the risk of a crash.","Dealers will replace the instrument cluster assembly, free of charge.  Owner notification letters were mailed July 15, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 230.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,PALISADE 2022
22V626000,SC247,"Kia America, Inc.",36417,20220815,20230412,TRAILER HITCHES,TOW HITCH HARNESS,S9F67-AC000,TOW HITCH HARNESS (4-pin),,,"Kia America, Inc. (Kia) is recalling certain 2020-2022 Telluride vehicles potentially equipped with a Genuine Kia 4-pin tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",A fire while parked or driving can increase the risk of injury. ,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will install a new fuse and a wiring harness extension.  Dealers will also inspect and replace the tow hitch harness assembly, as necessary.  All repairs will be performed free of charge.  Owner notification letters were mailed April 12, 2023. Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC247. ","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,TELLURIDE 2020; TELLURIDE 2021; TELLURIDE 2022
22V626000,SC247,"Kia America, Inc.",36417,20220815,20230412,TRAILER HITCHES,TOW HITCH HARNESS,S9F67-AC001,TOW-HITCH HARNESS (4-pin),,,"Kia America, Inc. (Kia) is recalling certain 2020-2022 Telluride vehicles potentially equipped with a Genuine Kia 4-pin tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",A fire while parked or driving can increase the risk of injury. ,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will install a new fuse and a wiring harness extension.  Dealers will also inspect and replace the tow hitch harness assembly, as necessary.  All repairs will be performed free of charge.  Owner notification letters were mailed April 12, 2023. Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC247. ","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,TELLURIDE 2020; TELLURIDE 2021; TELLURIDE 2022
22V633000,235,Hyundai Motor America,244980,20220818,20221013,TRAILER HITCHES,Tow Hitch Harness,S8F67-AC400,Tow hitch module & wiring harness,,,"Hyundai Motor America (Hyundai) is recalling 2020-2022 Palisade vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",A fire while parked or driving can increase the risk of injury. ,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will install a new fuse and wire extension kit, as necessary, free of charge.  Owner notification letters were mailed May 18, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 235.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,PALISADE 2020; PALISADE 2021; PALISADE 2022
22V633000,235,Hyundai Motor America,244980,20220818,20221013,TRAILER HITCHES,Tow Hitch Harness,S8F67-AC401,Tow hitch module & wiring harness,,,"Hyundai Motor America (Hyundai) is recalling 2020-2022 Palisade vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",A fire while parked or driving can increase the risk of injury. ,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will install a new fuse and wire extension kit, as necessary, free of charge.  Owner notification letters were mailed May 18, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 235.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,PALISADE 2020; PALISADE 2021; PALISADE 2022
22V651000,SC248,"Kia America, Inc.",19701,20220829,20220923,ELECTRICAL SYSTEM:ALTERNATOR/GENERATOR/REGULATOR,ALTERNATOR ASSEMBLY,37300-2SGD1,ALTERNATOR ASSEMBLY,,,"Kia America, Inc. (Kia) is recalling certain 2023 Sportage vehicles.  The alternator battery positive terminal nut may loosen, which can result in an engine stall or an electrical surge. ","An engine stall increases the risk of a crash, and an electrical surge increases the risk of a fire. ","Dealers will inspect and tighten the alternator battery positive terminal nut, as necessary, free of charge.  Owner notification letters were mailed September 23, 2022.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC248.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,SPORTAGE 2023
22V703000,SC249,"Kia America, Inc.",70887,20220919,20230727,TRAILER HITCHES,TOW HITCH HARNESS,C6061 ADUS0 / C6061 ADUS1 / C6061 ADUS8 / C6061 ADUS9 / C6061 ADUSA / C6061 ADUSB,TOW HITCH HARNESS (2016-2020 Sorento),,,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",A fire while parked or driving can increase the risk of injury. ,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022
22V703000,SC249,"Kia America, Inc.",70887,20220919,20230727,TRAILER HITCHES,TOW HITCH HARNESS,C6061 ADUSAQQK / C6061 ADUSBQQK / C6061 ADUSC / C6061 ADUSD / C6061 ADUSF,TOW HITCH HARNESS (2016-2020 Sorento),,,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",A fire while parked or driving can increase the risk of injury. ,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022
22V703000,SC249,"Kia America, Inc.",70887,20220919,20230727,TRAILER HITCHES,TOW HITCH HARNESS,C6061 ADUSG / C6061 ADUSH / C6061 ADUSNQQK / C6061 ADUSPQQK,TOW HITCH HARNESS (2016-2020 Sorento),,,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",A fire while parked or driving can increase the risk of injury. ,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022
22V703000,SC249,"Kia America, Inc.",70887,20220919,20230727,TRAILER HITCHES,TOW HITCH HARNESS,D9061 ADU00 / D9061 ADU01 / D9061 ADUP1 / D9061 ADU02 / D9061 ADUP2 / D9061 ADU03,TOW HITCH HARNESS (2017-2022 Sportage),,,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",A fire while parked or driving can increase the risk of injury. ,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022
22V703000,SC249,"Kia America, Inc.",70887,20220919,20230727,TRAILER HITCHES,TOW HITCH HARNESS,D9061 ADUP3 / D9061 ADU04 / D9061 ADUP4 / D9061 ADU05 / D9061 ADUP5 / D9061 ADUS6,TOW HITCH HARNESS (2017-2022 Sportage),,,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",A fire while parked or driving can increase the risk of injury. ,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022
22V703000,SC249,"Kia America, Inc.",70887,20220919,20230727,TRAILER HITCHES,TOW HITCH HARNESS,D9061 ADUS6QQK / D9061 ADUS7 / D9061 ADUS9 / D9061 ADUP0 / D9061 ADUS5 / D9061 ADUSA,TOW HITCH HARNESS (2017-2022 Sportage),,,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",A fire while parked or driving can increase the risk of injury. ,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022
22V703000,SC249,"Kia America, Inc.",70887,20220919,20230727,TRAILER HITCHES,TOW HITCH HARNESS,R5F61 AU100 / R5F61 AU200,"TOW HITCH HARNESS (2021-2023 Sorento, Sorento HEV, Sorento PHEV)",,,"Kia America, Inc. (Kia) is recalling certain 2016-2022 Sorento, 2021-2022 Sorento Hybrid (HEV), 2022-2023 Sorento Plug-In Hybrid (PHEV), and 2017-2022 Sportage vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Debris and moisture accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire. ",A fire while parked or driving can increase the risk of injury. ,"Owners are advised to park outside and away from structures until the recall repair is complete.  Dealers will inspect the vehicle, and, as necessary, replace the fuse and/or tow hitch harness module, free of charge.  Owner notification letters were mailed August 11, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC249.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,SORENTO 2016; SORENTO 2017; SORENTO 2018; SORENTO 2019; SORENTO 2020; SORENTO 2021; SORENTO 2022; SORENTO HYBRID 2021; SORENTO HYBRID 2022; SORENTO HYBRID 2023; SORENTO PHEV 2022; SORENTO PHEV 2023; SPORTAGE 2017; SPORTAGE 2018; SPORTAGE 2019; SPORTAGE 2020; SPORTAGE 2021; SPORTAGE 2022
22V899000,SC258,"Kia America, Inc.",872,20221206,20230309,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY:THERMAL MANAGEMENT:FLUID/COOLANT,EPCU ASSY,36601-0E190,Electric Power Control Unit (EPCU) Assembly,,,"Kia America, Inc. (Kia) is recalling certain 2020 Niro EV vehicles.  The Electric Power Control Unit (EPCU) may have been improperly sealed and may leak coolant internally. ","Coolant contacting the EPCU circuit board may cause a loss of drive power, increasing the risk of a crash. ","Dealers will inspect and replace the EPCU as necessary, free of charge.  Owner notification letters were mailed March 9, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC258. ","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,NIRO EV 2020
22V941000,239,Hyundai Motor America,853,20221216,20230322,ELECTRICAL SYSTEM:PROPULSION SYSTEM:TRACTION BATTERY:THERMAL MANAGEMENT:FLUID/COOLANT,EPCU ASSY,36601-0E170,Electric Power Control Unit Assembly,,,Hyundai Motor America (Hyundai) is recalling certain 2021 Kona EV vehicles.  The Electric Power Control Unit (EPCU) may have been improperly sealed and may leak coolant internally.,"Coolant contacting the EPCU circuit board may cause a loss of drive power, increasing the risk of a crash. ","Dealers will inspect and replace the EPCU, as necessary, free of charge.  Owner notification letters were mailed March 22, 2023.  A second notice will be sent once the final remedy is available.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 239.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,No,KONA ELECTRIC 2021
23V179000,SC265,"Kia America, Inc.",3555,20230317,20230516,TRAILER HITCHES,TOW HITCH HARNESS,R0F67-AC400,TOW HITCH HARNESS (4-pin),,,"Kia America, Inc. (Kia) is recalling certain 2022-2023 Carnival vehicles equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Kia dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will inspect and verify whether the vehicle is equipped with a Genuine Kia accessory trailer tow hitch assembly.  If equipped, dealers will install a new fuse and wire extension kit.  Repairs will be performed free of charge.  Owner notification letters were mailed May 16, 2023.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC265.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,CARNIVAL 2022; CARNIVAL 2023
23V181000,244,Hyundai Motor America,584784,20230317,20230516,TRAILER HITCHES,Tow Hitch Harness,S2F67-AC000,Tow hitch module & wiring harness,,,"Hyundai Motor America (Hyundai) is recalling certain 2019-2023 Santa Fe, 2021-2023 Santa Fe HEV, 2022-2023 Santa Fe Plug-in HEV and Santa Cruz vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will install a new fuse and wire extension kit as necessary, free of charge.  Owner notification letters were mailed starting May 16, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 244.  This recall is an expansion of previous recall number 22V-633.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,SANTA CRUZ 2022; SANTA CRUZ 2023; SANTA FE 2019; SANTA FE 2020; SANTA FE 2021; SANTA FE 2022; SANTA FE 2023; SANTA FE HYBRID 2021; SANTA FE HYBRID 2022; SANTA FE HYBRID 2023; SANTA FE PLUG-IN HYBRID 2022; SANTA FE PLUG-IN HYBRID 2023
23V181000,244,Hyundai Motor America,584784,20230317,20230516,TRAILER HITCHES,Tow Hitch Harness,S2F67-AC100,Tow hitch module & wiring harness,,,"Hyundai Motor America (Hyundai) is recalling certain 2019-2023 Santa Fe, 2021-2023 Santa Fe HEV, 2022-2023 Santa Fe Plug-in HEV and Santa Cruz vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will install a new fuse and wire extension kit as necessary, free of charge.  Owner notification letters were mailed starting May 16, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 244.  This recall is an expansion of previous recall number 22V-633.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,SANTA CRUZ 2022; SANTA CRUZ 2023; SANTA FE 2019; SANTA FE 2020; SANTA FE 2021; SANTA FE 2022; SANTA FE 2023; SANTA FE HYBRID 2021; SANTA FE HYBRID 2022; SANTA FE HYBRID 2023; SANTA FE PLUG-IN HYBRID 2022; SANTA FE PLUG-IN HYBRID 2023
23V181000,244,Hyundai Motor America,584784,20230317,20230516,TRAILER HITCHES,Tow Hitch Harness,S2F67-AC101,Tow hitch module & wiring harness,,,"Hyundai Motor America (Hyundai) is recalling certain 2019-2023 Santa Fe, 2021-2023 Santa Fe HEV, 2022-2023 Santa Fe Plug-in HEV and Santa Cruz vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will install a new fuse and wire extension kit as necessary, free of charge.  Owner notification letters were mailed starting May 16, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 244.  This recall is an expansion of previous recall number 22V-633.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,SANTA CRUZ 2022; SANTA CRUZ 2023; SANTA FE 2019; SANTA FE 2020; SANTA FE 2021; SANTA FE 2022; SANTA FE 2023; SANTA FE HYBRID 2021; SANTA FE HYBRID 2022; SANTA FE HYBRID 2023; SANTA FE PLUG-IN HYBRID 2022; SANTA FE PLUG-IN HYBRID 2023
23V181000,244,Hyundai Motor America,584784,20230317,20230516,TRAILER HITCHES,Tow Hitch Harness,S2F67-AC400,Tow hitch module & wiring harness,,,"Hyundai Motor America (Hyundai) is recalling certain 2019-2023 Santa Fe, 2021-2023 Santa Fe HEV, 2022-2023 Santa Fe Plug-in HEV and Santa Cruz vehicles potentially equipped with a tow hitch harness installed as original equipment, or purchased as an accessory through a Hyundai dealership.  Water accumulation on the tow hitch harness module printed circuit board (PCB) may cause an electrical short, which can result in a fire.",A fire while parked or driving can increase the risk of injury.,"Owners are advised to park their vehicles outside and away from structures until the remedy is completed.  Dealers will install a new fuse and wire extension kit as necessary, free of charge.  Owner notification letters were mailed starting May 16, 2023.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 244.  This recall is an expansion of previous recall number 22V-633.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov. ",No,Yes,SANTA CRUZ 2022; SANTA CRUZ 2023; SANTA FE 2019; SANTA FE 2020; SANTA FE 2021; SANTA FE 2022; SANTA FE 2023; SANTA FE HYBRID 2021; SANTA FE HYBRID 2022; SANTA FE HYBRID 2023; SANTA FE PLUG-IN HYBRID 2022; SANTA FE PLUG-IN HYBRID 2023
